"volume_lastvolume_ratio","ad_ratio","ma5_ratio","wma5_ratio","apo5_ratio","aroonup5_ratio","aroonosc5_ratio","rsi5_ratio","macdhist5_ratio","cmo5_ratio"
-0.0148484112,0.0043732372,0.0032830283,-0.0094254047,-0.0012069356,-0.04,0,0.0041534578,-0.0013188811,-0.0007771801
0.0468248595,0.0645884007,-0.0194472412,-0.0388196739,-0.0186800125,-0.05,0,-0.016952189,-0.0057205207,0.0040590191
0.0276803763,0.0509535862,-0.0583743282,-0.0807113822,0.0430105742,-0.0666666667,-0.4166666667,-0.0256106554,0.0307362057,0.0025606475
0.0441007674,0.0899614372,-0.1431848727,-0.1499048663,0.0745952728,-0.1,0.0555555556,-0.0356136404,0.0063474573,0.0016090686
-0.0222219172,-0.0216356677,-0.0919177318,-0.0849396044,0.0114576173,-0.2,0.0416666667,0.0597603091,-0.0012293377,-0.001209179
-0.029383018,0.0262270231,-0.0990431241,-0.063074195,0.0089508782,0,-0.0333333333,-0.0026307189,-0.0019193921,0.0001222893
0.0863367615,0.0550318507,-0.122859416,-0.0974409638,0.0067426665,0,0.0416666667,-0.0294835485,0.0015961082,0.0012944694
0.0004553751,0.1043960762,-0.1036874478,-0.0814073728,0.0022691934,0,-0.0333333333,-0.0101087403,-0.0004588575,0.0002324122
-0.0406608945,-0.0596924806,0.0269546067,0.0523352969,-0.0083845232,0,-0.0416666667,0.2198045842,-0.0087624801,-0.0042712185
-0.0533872317,-0.0151478516,0.0235427413,0.0638770825,-0.0081316245,1,-0.3333333333,0.0082631076,0.0042577796,0.0555239638
0.1856518146,-0.0856478287,0.1174750592,0.1889231136,-0.0214717345,0,0.0555555556,0.0332302118,0.0044306698,0.017207701
-0.0103657285,0.0333267317,0.1966041024,0.2058075715,-0.1463646855,0,0.0416666667,0.0058057186,0.0007393883,0.0008045714
-0.0250327745,-0.0816835623,0.2536016415,0.2134449958,0.0379387193,0,0,0.005543364,0.0001780034,0.0006856248
0.10140775,-0.0518599099,0.2335871625,0.213227159,0.0094285565,0,0,0.0044069942,1.27036912874912E-05,0.0004969263
0.0432063695,0.0502012623,0.2176091208,0.1435163711,0.0066880348,0,0,0,-0.0011718878,0
-0.0279512665,0.149544849,0.0473538913,-0.0394470243,-0.0017639008,-0.04,-0.0333333333,-0.0354583392,-0.0041524909,-0.0037469725
